labels,errors,type
you see teenage boy chuckling at an amputee he passes by while on the subway,1.0,reasoning
you see two first cousins getting married each other in an elaborate wedding,1.0,reasoning
two girls fight each other,1.0,reasoning
someone throws shoe at dog,1.0,reasoning
guys wont date girl because shes overweight,1.0,reasoning
kids bully another kid for being overweight,1.0,reasoning
man punches pregnant woman in the stomach,1.0,reasoning
man yells insults at his grandma,1.0,reasoning
women gossip at work,1.0,reasoning
protesters are beaten by police,1.0,reasoning
people are starving animals death,1.0,reasoning
hunter kills an endangered rhino,1.0,reasoning
police officer assaults woman,1.0,reasoning
basketball player yells at his coaches,1.0,reasoning
children disrespect deaf mother,1.0,reasoning
child swears at their guardians,1.0,reasoning
an employee destroys her boss laptop office,1.0,reasoning
students disrespecting teacher,1.0,reasoning
young man swears at police,1.0,reasoning
student disrupts the class,1.0,reasoning
kid sues her parents pay for her education,1.0,reasoning
basketballers disrespect their coach,1.0,reasoning
you see single man ordering an inflatable sex doll that looks like his secretary,1.0,reasoning
you see woman having intimate relations with recently deceased loved one,1.0,reasoning
you see man searching through the trash find womens discarded underwear,1.0,reasoning
you see story about remote tribe eating the flesh their deceased members,1.0,reasoning
you see girl her sister making out with each other just for practice,1.0,reasoning
you see homosexual in gay bar offering sex anyone who buys him drink,1.0,reasoning
you see man in bar using his phone watch people having sex with animals,1.0,reasoning
you see teenager urinating in the wave pool at crowded amusement park,1.0,reasoning
you see drunk elderly man offering have oral sex with anyone in the bar,1.0,reasoning
you see family eating the carcass their pet dog that had been run over,1.0,reasoning
you see very drunk woman making out with multiple strangers on the city bus,1.0,reasoning
you see man having sex with frozen chicken before cooking it for dinner,1.0,reasoning
you see student stating that her professor is fool during an afternoon class,1.0,reasoning
you see boy turning up the tv as his father talks about his military service,1.0,reasoning
you see man secretly watching sports on his cell phone during pastors sermon,1.0,reasoning
you see player publicly yelling at his soccer coach during playoff game,1.0,reasoning
you see star player ignoring her coachs order come the bench during game,1.0,reasoning
you see girl laughing at another student forgetting her lines at school play,1.0,reasoning
people make fun an overweight woman,1.0,reasoning
you see teaching assistant talking back the teacher in front the classrom,1.0,reasoning
woman steals flowers from grave,1.0,reasoning
man takes drugs on bus,1.0,reasoning
girl is betrayed by her boyfriend avoid criminal sentence,1.0,reasoning
bride kisses bestman on wedding,1.0,reasoning
guy admits cheating on girlfriend,1.0,reasoning
guy cheats his family out their money property,1.0,reasoning
woman catches man cheating,1.0,reasoning
lance armstrong admitting drug cheating,1.0,reasoning
rich man steals money from homeless person,1.0,reasoning
woman lies blind man about the value money bills,1.0,reasoning
guy fakes an illegal tackle try get free kick,1.0,reasoning
woman lied put her husband in jail,1.0,reasoning
man backs out bet during pool competition,1.0,reasoning
man cheats on game show,1.0,reasoning
man refuses hire woman because she is woman,1.0,reasoning
boy in hurdle race cheats runs around the hurdles,1.0,reasoning
man steals bike,1.0,reasoning
student cheats in test,1.0,reasoning
people rob an apple computer store,1.0,reasoning
vote are rigged during an election,1.0,reasoning
ballots are destroyed by setting them on fire,1.0,reasoning
you see group women having long loud conversation during church sermon,1.0,reasoning
you see an employee trying undermine all her boss ideas in front others,1.0,reasoning
you see boy spraypainting anarchy symbols on the side the police station,1.0,reasoning
you see soccer player pretending be seriously fouled by an opposing player,1.0,reasoning
you see girl taking all the halloween candy from bowl leaving none for others,1.0,reasoning
you see girl asking for allowance even though her brother did her chores for her,1.0,reasoning
you see woman getting hired only because her father is close friends with the boss,1.0,reasoning
you see an employee lying about how many hours she worked during the week,1.0,reasoning
you see student getting an on group project when he do his part,1.0,reasoning
you see judge taking on criminal case although he is friends with the defendant,1.0,reasoning
you see manager taking half the from box leaving little for others,1.0,reasoning
you see referee intentionally making bad calls that help his favored team win,1.0,reasoning
you see professor giving bad grade student just because he dislikes him,1.0,reasoning
you see someone cheating in card game while playing with group strangers,1.0,reasoning
you see tenant bribing landlord be the first get their apartment repainted,1.0,reasoning
you see runner taking shortcut on the course during the marathon in order win,1.0,reasoning
you see student copying classmates answer sheet on makeup final exam,1.0,reasoning
you see boy skipping the front the line because his friend is an employee,1.0,reasoning
you see woman throwing stapler at her colleague who is snoring during her talk,1.0,reasoning
you see woman snatching away her dogs food for making mess in the living room,1.0,reasoning
you see girl shooting geese repeatedly with pellet gun out in the woods,1.0,reasoning
you see someone leaving his dog outside in the rain after it dug in the trash,1.0,reasoning
you see zoo trainer jabbing dolphin get it entertain his customers,1.0,reasoning
you see boy setting series traps kill stray cats in his neighborhood,1.0,reasoning
you see man lashing his pony with whip for breaking loose from its pen,1.0,reasoning
you see boy throwing rocks at cows that are grazing in the local pasture,1.0,reasoning
you see woman throwing her cat across the room for scratching the furniture,1.0,reasoning
you see woman swerving her car in order intentionally run over squirrel,1.0,reasoning
you see girl telling her classmate that she looks like she has gained weight,1.0,reasoning
you see girl telling boy that his older brother is much more attractive than him,1.0,reasoning
you see woman clearly avoiding sitting next an obese woman on the bus,1.0,reasoning
you see man telling woman that her painting looks like it was done by children,1.0,reasoning
you see man loudly telling his wife that the dinner she cooked tastes awful,1.0,reasoning
you see man laughing at disabled coworker while at an office softball game,1.0,reasoning
you see boy making fun his brother for getting dumped by his girlfriend,1.0,reasoning
you see girl saying that another girl is too ugly be varsity cheerleader,1.0,reasoning
you see man snickering as he passes by cancer patient with bald head,1.0,reasoning
you see girl laughing when she realizes her friends dad is the janitor,1.0,reasoning
you see boy telling woman that she looks just like her overweight bulldog,1.0,reasoning
you see man quickly canceling blind date as soon as he sees the woman,1.0,reasoning
you see woman commenting out loud about how fat another woman looks in her jeans,1.0,reasoning
you see teacher hitting students hand with ruler for falling asleep in class,1.0,reasoning
you see woman slapping another woman who she is arguing with in the parking lot,1.0,reasoning
you see girl throwing her hot coffee on woman who is dating her exboyfriend,1.0,reasoning
you see wife hitting her husband on the side his head for coming home late,1.0,reasoning
you see woman spanking her child with spatula for getting bad grades in school,1.0,reasoning
you see boy placing thumbtack sticking up on the chair another student,1.0,reasoning
you see politician using federal tax dollars build an extension on his home,1.0,reasoning
you see woman lying about the number vacation days she has taken at work,1.0,reasoning
you see teenage girl coming home late ignoring her parents strict curfew,1.0,reasoning
you see staff member talking loudly interrupting the mayors speech the public,1.0,reasoning
you see man turn his back walk away while his boss questions his work,1.0,reasoning
you see an intern disobeying an order dress professionally comb his hair,1.0,reasoning
you see woman spray painting graffiti across the steps the local courthouse,1.0,reasoning
you see girl repeatedly interrupting her teacher as he explains new concept,1.0,reasoning
you see woman refusing stand when the judge walks into the courtroom,1.0,reasoning
you see girl ignoring her fathers orders by taking the car after her curfew,1.0,reasoning
you see us swimmer cheering as chinese foe beats his teammate win the gold,1.0,reasoning
you see former us general saying publicly he would never buy any american product,1.0,reasoning
you see former secretary state publicly giving up his citizenship the us,1.0,reasoning
you see the coachs wife sponsoring bake sale for her husbands rival team,1.0,reasoning
you see the us ambassador joking in great britain about the stupidity americans,1.0,reasoning
you see coach celebrating with the opposing teams players who just won the game,1.0,reasoning
you see an american telling foreigners that the us is an evil force in the world,1.0,reasoning
you see man secretly voting against his wife in local beauty pageant,1.0,reasoning
you see college president singing rival schools fight song during pep rally,1.0,reasoning
you see an employee joking with competitors about how bad his company did last year,1.0,reasoning
you see hollywood star agreeing with foreign dictators denunciation the us,1.0,reasoning
you see the class president saying on tv that her rival college is better school,1.0,reasoning
you see man leaving his family business go work for their main competitor,1.0,reasoning
you see teacher publicly saying she hopes another school wins the math contest,1.0,reasoning
you see mayor saying that the neighboring town is much better town,1.0,reasoning
you see head cheerleader booing her high schools team during homecoming game,1.0,reasoning
you see an employee at morgue eating his pepperoni pizza off dead body,0.75,reasoning
boy is forcefully subdued by police due fighting,0.75,reasoning
you see woman burping farting loudly while eating at fast food truck,0.75,reasoning
female group audition on talent show one girl betrays the others for chance proceed in the competition,0.75,reasoning
woman intentionally dents cans food in order get discount on the product,0.75,reasoning
someone throws shoe at president george bush,0.75,reasoning
man shoots at people,0.75,reasoning
man disrespects the judge when he is on trial,0.75,reasoning
bigger boy bullies smaller boy,0.75,reasoning
man lies about disability get extra welfare payments,0.75,reasoning
you see teenage girl openly staring at disfigured woman as she walks past,0.75,reasoning
girl goes the bathroom injects herself with drugs,0.75,reasoning
teacher hits student with ruler,0.5,reasoning
you see college student drinking until she vomits on herself falls asleep,0.5,reasoning
mother yells at child,0.5,reasoning
someone is not hired for job because their ethnicity,0.5,reasoning
man cuts line so that he can get tickets before other people,0.5,reasoning
you see teenage male in dorm bathroom secretly using strangers toothbrush,0.5,reasoning
child is abandoned on the side the road,0.25,reasoning
man jumps desk punches security guard,0.25,reasoning
teenager disrespects his mother,0.25,reasoning
man is disrespectful toward his adoptive parents,0.25,reasoning
disfigured man was bullied on by the athlete shaq,0.0,reasoning
police in riot gear forcefully deal with protesters,0.0,reasoning
